index,slack_ns,requirement_ns,datapath_delay_ns,logic_levels,startpoint_pin,endpoint_pin,path_group
11265,-0.154,5.000,5.007,2,"student_top_inst/Core_cpu/u_core_top/u_dcache/req_addr_q_reg[5]/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[23]/D","setup"
11266,-0.153,5.000,4.959,6,"student_top_inst/Core_cpu/u_core_top/u_dcache/tag_q_reg/CLKBWRCLK","student_top_inst/Core_cpu/u_core_top/u_dcache/lookup_store_data_q_reg[25]/D","setup"
11267,-0.153,5.000,5.166,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[1128]/D","setup"
11268,-0.153,5.000,4.894,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_muldiv/u_div/U0/i_synth/i_has_input_skid.i_2to1/gen_has_z_tready.reg1_a_valid_reg/D","setup"
11269,-0.152,5.000,4.761,7,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/load_active_q_reg/R","setup"
11270,-0.152,5.000,4.761,7,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/load_count_q_reg[0]/R","setup"
11271,-0.152,5.000,4.761,7,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/load_count_q_reg[1]/R","setup"
11272,-0.152,5.000,5.099,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[2035]/D","setup"
11273,-0.150,5.000,5.097,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[2046]/D","setup"
11274,-0.149,5.000,4.908,3,"student_top_inst/Core_cpu/u_core_top/exec_q_reg[op1][31]/C","student_top_inst/Core_cpu/u_core_top/u_muldiv/u_mul/U0/i_mult/gLUT.gLUT_speed.iLUT/NxM_mult.pp_gen_pipeline.pp_gen_loop[15].b_is_even.pp_out_reg_reg[15][33]/D","setup"
